LR Model,,,,Linear Model,,
AR,FDR,TPR,,AR,FDR,TPR
0.01,0.110104769,0.298,,0.01,0.014613823,0.623333333
0.05,0.13371421,0.301333333,,0.05,0.006839042,0.563333333
0.1,0.132328577,0.265,,0.1,0.020854488,0.623333333
0.15,0.128869263,0.314333333,,0.15,0.012778406,0.818
0.2,0.17399068,0.321333333,,0.2,0.017215157,0.592333333
,,,,,,
Small World,FDR,TPR,,Small World,FDR,TPR
0.01,0.140588828,0.158333333,,0.01,0.001732026,0.491333333
0.05,0.112928016,0.183333333,,0.05,0.021032563,0.583
0.1,0.097095238,0.138666667,,0.1,0.006220958,0.645666667
0.15,0.093065268,0.196,,0.15,0.052713305,0.531
0.2,0.164487374,0.139333333,,0.2,0.049334026,0.423
,,,,,,
Star Graph,FDR,TPR,,Star Graph,FDR,TPR
0.01,0.110104769,0.298,,0.01,0.010468229,0.858
0.05,0.13371421,0.301333333,,0.05,0.014356037,0.856333333
0.1,0.132328577,0.265,,0.1,0.008456888,0.833666667
0.15,0.128869263,0.314333333,,0.15,0.004424693,0.776333333
0.2,0.17399068,0.321333333,,0.2,0.010242142,0.681
,,,,,,
Block Diagonal,FDR,TPR,,Block Diagonal,FDR,TPR
0.01,0.453570346,0.059333333,,0.01,0.027401332,0.455333333
0.05,0.334045455,0.07,,0.05,0.046625415,0.730666667
0.1,0.573172439,0.059666667,,0.1,0.028937775,0.575333333
0.15,0.515047619,0.061333333,,0.15,0.044671348,0.612666667
0.2,0.482858974,0.059,,0.2,0.079447318,0.717333333
